## npc_type
# 0: Comun - Los npcs comunes abarcan las secciones varios/decorativos/Guardias Legion/No Hostiles/Hostiles (separar)
# 1: Sacerdote
# 2: Imperial
# 3: Entrenador
# 4: Banquero
# 5: Noble
# 6: Dragon
# 7: Timbero
# 8: Guardia del caos
# 9: Sacerdote de newbies
# 10: Pretoriano
# 11: Gobernador
# 12: Comerciante

## Orden
# Vende Casas
# Resucitadores
# Enlistadores
# Entrenadores
# Varios
# Comerciantes
# Decorativos
# Ullathorpe
# Nix
# Banderbill
# Lindos
# Arghal
# Arkhein
# Esperanza
# Ciudad Perdida
# Guardias Armada
# Guardias Legion
# No Hostiles
# Hostiles
# Pretorianos

# sound
# sound1 = Golpe de la criatura
# sound2 = Golpe a la criatura
# sound3 = Muerte de la criatura

# heading
# 1 = Norte
# 2 = Este
# 3 = Sur
# 4 = Oeste

# TODO Algunas claves de object_count no coinciden con la cantidad de objectos
# TODO Claves no especificadas en el codigo: backup, GuardiaPersigue, Faccion, AtacaDoble, GolpeExacto
# TODO No se en que momento elimine 5 npcs que eran 4 guardias imperiales y una arquera real, todos pertenecientes a la seccion "Guardias Armada". Ver el archivo NPCs.dat original para mas informacion.
# TODO No se de donde salio el [NPC308]

[INIT]
npc_count = 332

#################### Vende Casas ####################

[NPC1]
name = Cullighan
npc_type = 12
description = Usted sabe que no hay persona noble o respetable en estas tierras que no tenga su propia vivienda. Acerquese y sea dueño de una de las exclusivas casas de Ullathorpe. Sera admirado por toda la poblacion!
head = 33
heading = 3
body = 240
ai_type = 1
object_type = 9
object_count = 4
object1 = 54-0
object2 = 65-0
object3 = 69-0
object4 = 73-0
restockable = 1
backup = 1

[NPC2]
name = Moraday
npc_type = 12
description = ¿Ha descubierto que la ciudad de Nix es la mas hermosa de todo Argentum, verdad? Pues que mejor que ser un terrateniente de este paraiso! Acercate que haremos negocios!
head = 35
heading = 3
body = 239
ai_type = 1
object_type = 9
object_count = 10
object1 = 87-0
object2 = 91-0
object3 = 95-0
object4 = 99-0
object5 = 103-0
object6 = 107-0
object7 = 111-0
object8 = 115-0
object9 = 119-0
object10 = 140-0
restockable = 1
backup = 1

[NPC3]
name = Rantarisk
npc_type = 12
description = De lejos pude ver vuestro blazon, seguro busca una de las moradas mas lujosas de todo el Argentum. En la ciudad real de Banderbill es donde deben habitar la flor y la nata de la nobleza. Venga y hagamos negocios!
head = 32
heading = 3
body = 241
ai_type = 1
object_type = 9
object_count = 18
object1 = 266-0
object2 = 270-0
object3 = 274-0
object4 = 278-0
object5 = 282-0
object6 = 286-0
object7 = 290-0
object8 = 294-0
object9 = 298-0
object10 = 323-0
object11 = 327-0
object12 = 331-0
object13 = 335-0
object14 = 339-0
object15 = 343-0
object16 = 347-0
object17 = 351-0
object18 = 355-0
restockable = 1
backup = 1

[NPC4]
name = Guldorf
npc_type = 12
description = Si esta buscando la paz y la tranquilidad en estas tierras ha llegado al lugar indicado... adquiera una de nuestras exclusivas residencias, y cambie su vida para siempre.
head = 36
body = 234
heading = 3
ai_type = 1
object_type = 9
object_count = 6
object1 = 420-0
object2 = 424-0
object3 = 428-0
object4 = 436-0
object5 = 436-0
object6 = 440-0
restockable = 1
backup = 1

[NPC5]
name = Vendedor de propiedades
npc_type = 12
description = En estas tierras demoniacas estan las mejores residencias para los miembros de la Legion Oscura... Si no eres legionario puedes tambien vivir aca, pero os aseguro que los augura un infierno! jajaja!
head = 34
body = 170
heading = 3
ai_type = 1
object_type = 9
object_count = 8
object1 = 583-0
object2 = 587-0
object3 = 591-0
object4 = 595-0
object5 = 599-0
object6 = 603-0
object7 = 607-0
object8 = 611-0
restockable = 1
backup = 1

#################### Resucitadores ####################

[NPC6]
name = Sacerdote
npc_type = 1
description = Hola, hijo mio! Soy el sacerdote de estas tierras. Si quieres que te resucite escribe /resucitar, o haz doble click sobre mi.
head = 3
heading = 3
body = 49
ai_type = 1

[NPC7]
name = Sacerdote
npc_type = 9
description = Hola, hijo mio! Soy el sacerdote de estas tierras. Si eres newbie te podra resucitar, solo necesitas tipear /resucitar o hacer doble click sobre mi cabeza.
head = 3
heading = 3
body = 49
ai_type = 1

#################### Enlistadores ####################

[NPC8]
name = Tancredo de Hauteville, soberano de Banderbill
npc_type = 5
description = Saludos ciudadano, soy Tancredo de Hauteville, nuevo soberano de Banderbill. Mi deber es mantener el nuevo orden del Imperio. Si deseas unirte a mis filas y ayudarme di /enlistar.
head = 510
heading = 3
body = 409
ai_type = 1
alignment = 1

[NPC9]
name = Demonio Legionario
npc_type = 5
description = Si deseas unirte a la Legion Oscura escribe /enlistar.
head = 0
heading = 3
body = 405
ai_type = 1
alignment = 1
Faccion = 1

#################### Entrenadores ####################

[NPC10]
name = O'Riley de Banderbill
description = Hola amigo! Soy el maestro de armas de la milicia de Banderbill, si deseas que traiga una criatura solo debes pedirmelo escribiendo /entrenar.
npc_type = 3
head = 6
heading = 3
body = 57
ai_type = 1
creature_count = 4
creature_id1 = 156
creature_id2 = 160
creature_id3 = 185
creature_id4 = 161
creature_name1 = Murcielago
creature_name2 = Serpiente
creature_name3 = Escorpion
creature_name4 = Goblin

[NPC11]
name = O'Riley de Arkhein
npc_type = 3
description = Hola amigo! Escribe /entrenar para divertirte con estas almas malvadas que hemos domado para tu diversion en estos festejos.
head = 6
heading = 3
body = 57
ai_type = 1
creature_count = 5
creature_id1 = 190
creature_id2 = 195
creature_id3 = 197
creature_id4 = 210
creature_id5 = 222
creature_name1 = Hormiga gigante
creature_name2 = Tortuga gigante
creature_name3 = Ogro
creature_name4 = Liche
creature_name5 = Duende Magico

#################### Varios ####################

[NPC12]
name = Centinela
npc_type = 0
head = 0
heading = 3
body = 540
ai_type = 1
aquatic = 1

[NPC13]
name = Banquero
npc_type = 4
description = Hola, bienvenido a la cadena de finanzas Goliath. Somos la cadena mas grande en Argentum, contamos con bancos en las ciudades mas importantes.
head = 503
heading = 3
body = 201
ai_type = 1

[NPC14]
name = Timbero
npc_type = 7
description = Hola joven! Si deseas apostar escribe /apostar x.
head = 9
heading = 3
body = 47
ai_type = 1

#################### Comerciantes ####################

[NPC15]
name = Lilith
npc_type = 12
description = Hola, tengo las mejores pociones de la alquimia.
head = 77
heading = 3
body = 200
ai_type = 1
object_type = 11
object_count = 6
object1 = 36-1000
object2 = 37-1000
object3 = 38-1000
object4 = 39-1000
object5 = 166-1000
object6 = 645-1000
backup = 1

[NPC16]
name = Leñador
npc_type = 12
description = Hola muchacho! Si deseas vender o comprar madera escribe /comerciar.
head = 4
heading = 3
body = 1
ai_type = 1
object_type = 14
object_count = 2
object1 = 127-1000
object2 = 1005-1000
backup = 1

[NPC17]
name = Carpintero
npc_type = 12
description = Hola muchacho! Bienvenido a mi humilde carpinteria.
head = 2
heading = 3
body = 1
ai_type = 1
object_type = 20
object_count = 5
object1 = 163-1000
object2 = 167-1000
object3 = 168-1000
object4 = 198-1000
object5 = 480-10000
backup = 1

[NPC18]
name = Pescador
npc_type = 12
description = Bienvenido al gremio de pescadores!
head = 2
heading = 3
body = 3
ai_type = 1
object_type = 1
object_count = 2
object1 = 138-1000
object2 = 139-1000
backup = 1

[NPC19]
name = Pescador
npc_type = 12
description = Bienvenido al gremio de pescadores!
head = 101
heading = 3
body = 3
ai_type = 2
object_type = 1
object_count = 2
object1 = 138-1000
object2 = 139-1000
backup = 1

[NPC20]
name = Minero
npc_type = 12
description = Tengo los mejores utensillos para mineros de todo Argentum.
head = 2
heading = 3
body = 1
ai_type = 1
object_type = 23
object_count = 1
object1 = 187-1000
backup = 1

[NPC21]
name = Mercader
npc_type = 12
description = Hola buen amigo, compro y vendo todo tipo de mercancias!
head = 2
heading = 3
body = 3
ai_type = 1
object_type = 1000
object_count = 1
object1 = 534-1000
backup = 1

[NPC22]
name = Ralph
npc_type = 12
description = Hola, pequeño aventurero, tengo aqui unas mercaderias para saciar tu hambre y sed!
head = 504
heading = 3
body = 202
ai_type = 1
object_type = 1
object_count = 3
object1 = 1-1000
object2 = 158-1000
object3 = 43-1000
backup = 1

[NPC23]
name = Antogne
npc_type = 12
description = Hola aventurero! Si estais hambriento habeis venido al lugar apropiador, tengo todo tipo de frutas.
head = 505
heading = 3
body = 202
ai_type = 1
object_type = 1
object_count = 6
object1 = 1-1000
object2 = 158-1000
object3 = 22-1000
object4 = 754-1000
object5 = 29-1000
object6 = 43-1000
backup = 1

[NPC24]
name = Sastreria Real
npc_type = 12
description = Bienvenido a la sastreria real.
head = 171
heading = 3
body = 174
ai_type = 1
object_type = 3
object_count = 13
object1 = 675-1000
object2 = 516-1000
object3 = 517-1000
object4 = 372-1000
object5 = 521-1000
object6 = 679-1000
object7 = 520-1000
object8 = 680-1000
object9 = 629-1000
object10 = 687-1000
object11 = 691-1000
object12 = 693-1000
object13 = 1038-1000
backup = 1

[NPC25]
name = Sastreria Real
npc_type = 12
description = Bienvenido a la sastreria real.
head = 309
heading = 3
body = 175
ai_type = 1
object_type = 3
object_count = 10
object1 = 676-1000
object2 = 549-1000
object3 = 1039-1000
object4 = 492-1000
object5 = 682-1000
object6 = 1040-1000
object7 = 681-1000
object8 = 688-1000
object9 = 694-1000
object10 = 1038-1000
backup = 1

[NPC26]
name = SC
npc_type = 12
